nom	Procedes	NaPond	MgPond	AlPond	SiPond	PPond	SPond	ClPond	KPond	CaPond	TiPond	VPond	MnPond
Ago0.25D	D	0	1.412242647	3.924502116	19.32423431	0.192901173	0.597696706	0.181439811	2.206065527	5.886429542	0.173626448	0.073207724	4.303174316
AgolouD	D	0	1.372442774	4.621744976	21.91550837	0.339401273	0.808561067	0.296714237	2.881444425	6.534036887	0.154334637	0.044940868	4.298685395
arfon10a	D	0	0.284609356	7.385878929	12.11157842	0.67503023	1.230269657	0.280628994	1.190910917	25.09364004	0.246496012	0.039268549	0.097722748
auluslame	D	0	2.129374577	4.288398903	22.37646389	0.118588673	0.174926446	0.186497265	4.34962907	12.9277644	0.261077848	0.152230465	10.80343171
aulusling	D	0	2.459851427	4.589017551	23.31153665	0.123472797	0.325700527	0.194178232	3.305714638	8.897113099	0.169591188	0.158500139	12.8315573
avt1	D	0	2.09602918	3.359818812	31.60418584	0.456492438	0.157693882	0.216234388	3.217213731	3.824050336	0.188854571	0.176503722	3.754712859
avt3	D	0	1.397254609	3.506477756	28.06910611	0.837563719	0.186320965	0.255488668	2.739299889	5.751420164	0.223138435	0.208545464	2.910138656
avt5	D	0	0.991934	4.10519669	28.16716731	0.124141591	0.17846568	0.244717275	2.121281225	5.664129923	0.213730926	0.199753195	5.72034267
TPSUD	D	0	2.206099981	2.272102601	25.06804327	0.20140915	0.334939632	0.222710654	4.546652194	12.0236657	0.194510806	0.181790046	4.943614522
BM1093	D	0	0.348280572	3.743334068	26.519275	2.942162016	0.540202731	0.302998218	1.998853621	1.860874396	0.278953554	0.247325662	0.218035826
BMO1783	D	0	0.280570521	4.223618905	24.46547889	4.188974297	0.59917232	0.297315285	2.965035624	1.986135383	0.279116468	0.242686905	0.384925503
CA07bauvais	D	0	0.198412192	4.690938639	26.1625325	1.755118389	0.570852534	0.302265222	2.458709957	1.776728535	0.2094905	0.246727345	1.391292349
CA16bauvais	D	0	0.484211306	6.017086465	29.80286536	0.627197107	0.334981134	0.253496561	2.516360858	2.744967957	0.414900921	0.206919385	0.366747803
C132Bauvais	D	0	1.266861697	7.068904779	24.77284345	2.919908563	0.348155649	0.255079297	3.400280174	2.64617495	0.265461029	0.20821131	1.441122424
cab2b	D	0	0.783590692	5.291335348	26.87312955	0.627162408	0.372521645	0.248063519	4.068543883	4.512315473	0.216653465	0.202484603	2.833475707
cab14	D	0	0.516410635	1.810616547	25.79732045	1.729442653	0.754436116	0.290280527	3.912957341	3.816341859	0.253524914	0.236944706	4.030243701
cab15	D	0	0.746196485	5.781602849	25.6454147	1.244663828	0.710218982	0.241561114	4.567160641	5.034203495	0.210974402	0.197176943	3.483610001
cab16	D	0	0.973747662	4.100436801	20.80329079	1.471418656	0.512390179	0.292003006	3.409605323	6.977677957	0.25502929	0.238350698	6.035465729
cab20	D	0	1.304853596	4.603662387	23.25585783	2.675578685	0.326973182	0.22630747	5.032685377	9.140225989	0.197652189	0.184725987	3.323694059
cab21a	D	0	0.584277448	5.276074655	22.39753034	2.926939762	0.197907724	0.726345813	4.505711028	3.925559359	0.237014765	0.2215143	4.134679269
cab21b	D	0	0.824919309	3.757113206	26.51424068	2.165376581	0.666718467	0.250701155	3.780777793	3.826538942	0.218957121	0.204637603	3.813291013
frou1101	D	0	0.408916898	3.608889173	18.893659	5.720418857	1.004696299	0.337250544	1.53987699	2.811452327	0.075109622	0.02752845	2.220756501
frou1104	D	0	0.245655046	3.528116812	17.99608577	1.798183643	0.900564255	0.403130456	1.359297734	3.679488563	0.063375421	0.025263294	1.668891836
kaym00	D	0	0.052663952	6.175189684	17.5647417	0.078042295	0.250302971	0.214068172	2.12056904	1.611881034	0.630064108	0.174735523	25.59370478
kaym01	D	0	0.229429568	5.861284735	18.69465017	0.413942157	0.600398799	0.238918229	2.719798705	2.280611829	0.551615134	0.195019659	18.92340106
kaymlou	D	0	0.206483329	4.692177221	15.5412672	9.848095381	1.113703986	0.317760397	1.912870996	2.277061821	0.051725984	0.022957488	1.34863159
linglorr	D	0	1.820779782	9.067751716	21.67956123	1.017266314	0.261499528	0.264717456	0.96784652	9.966620907	0.231198664	0.216078564	0
ludresF212	D	0	1.763704072	9.82862884	19.16794823	0.680962663	0.386357132	0.094777874	0.963143582	20.9568561	0.240548559	0.027110284	0.187405523
ludresF272	D	0	1.675150918	8.752270562	19.01056284	2.227636358	0.21480999	0.116161998	1.886418762	18.68197603	0.239593189	0.126565794	0.337090073
ludresF209	D	0	0.742508705	7.48016382	17.47759443	1.931222357	0.220140107	0.299540471	0.75293213	13.08160168	0.262250839	0.244503237	0.338035982
ludresF217	D	0	2.356046568	10.22682173	19.49511812	1.356918915	0.339649722	0.18125109	1.371838173	17.83860654	0.158300894	0.147948216	0.204544615
ludresF221	D	0	1.451154704	8.885489172	19.53904489	2.492984587	0.2524251	0.237134635	2.003692372	18.16278985	0.187907871	0.153516438	0.212242915
ludresF269	D	0	1.621715978	9.321609338	15.18913408	2.509936194	0.517449582	0.179970682	1.017856985	26.31011835	0.201155883	0.145076768	0.200574717
LudresF248	D	0	1.629101558	8.833423266	16.31371545	1.915679259	0.135025239	0.184998406	0.982679385	25.57423004	0.161624388	0.151007004	0.250462671
LudresF268	D	0	1.474864056	7.588449834	16.29583177	2.292445058	0.156593768	0.20239748	1.814270277	23.98090799	0.18605367	0.165209298	0.228477275
LudresF224	D	0	1.138882818	9.307772881	14.02637891	2.2838985	0.285668068	0.268698926	2.290572357	16.91218676	0.234675996	0.219328484	0.303230829
marsal	D	0	8.491469002	6.48921036	21.34992575	5.180720386	0	0.298477645	0.779382575	5.103600161	0.260684104	0.243635694	0.733219102
mel0509	D	0	0.609196445	4.296042795	12.16420323	1.148931569	0.329538306	0.386536444	1.452873166	25.15097637	0.270904782	0.253187953	0.350852717
mel0518	D	0	2.184620683	6.711132344	19.38018568	1.981997448	0.268886321	0.10443747	2.48732124	16.34415153	0.204096488	0.033910904	0.085952621
mel0523	D	0	0.264947233	6.416448185	15.27318186	2.2944904	0.702041719	0.307207599	1.977146045	15.6328385	0.247401494	0.061876242	0.062391057
mel0524	D	0	0.213643908	5.618454959	14.20960573	6.9769989	0.3943391	0.084907878	2.509914941	17.07211013	0.176552774	0.052784897	0.094039899
mel0525	D	0	0.386549848	7.772444661	19.76857023	3.570347409	0.253494546	0.231732677	2.00323108	15.39285371	0.22457764	0.044338324	0.109546802
mel0526	D	0	1.226836945	7.843699885	18.70438927	4.571905401	0.294020829	0.214294809	2.03102303	15.35041382	0.251956868	0.036672991	0.134093313
Ha01	D	0	0.287190621	4.666479984	24.51079328	1.652443662	0.906866157	0.326863886	1.582196569	3.419355466	0.28547605	0.266806278	0.368870872
oul1771	D	0	0.312932815	3.55907123	17.17144501	5.971057898	1.209691594	0.364605674	1.817853645	2.114658327	0.36771317	0.107140836	1.173319384
oul1885	D	0	0.293828669	3.462316079	25.54825206	1.215358327	0.522249211	0.334418932	2.29373776	2.79561068	0.230942603	0.057387848	0.396354466
oul1852	D	0	0.277172288	4.030922741	25.62532688	1.997378093	0.730662923	0.315461594	2.125543907	2.673229116	0.141799688	0.006866641	0.342712426
oul5515	D	0	0.915284587	4.986944698	28.20731505	1.892615915	0.633692639	0.22515657	3.1017775	6.082390556	0.283754363	0.028861295	1.047990886
oul3013	D	0	0.534907864	4.960872298	30.79742743	0.888666617	0.396609967	0.225988103	2.998340822	5.106279039	0.284951908	0.015272011	0.500098028
oul38995	D	0	0.951577186	5.262255546	24.63100416	3.192674003	0.632051117	0.256771771	2.910663689	5.612572193	0.226167658	0.021405223	0.895946818
oul7171	D	0	0.32735101	3.589181952	17.32495969	5.881022994	1.199857082	0.363257833	1.848963355	2.147846607	0.362166499	0.107657116	1.168860254
SM24 1 L3	D	0	0.802759363	5.301738872	20.6782083	6.960891754	0.582011137	0.287202191	2.378060687	2.927911177	0.258003112	0.23443198	0.495825285
SM24 1 L4	D	0	0.799589881	4.607462931	22.64212596	5.265548829	0.591135374	0.257949921	2.731604918	5.703404985	0.288008232	0.210554489	1.653450351
SM24 2 L1	D	0	0.383886689	3.940431834	19.34256316	6.681549433	0.231878847	0.317958946	2.240092589	4.071035744	0.277698663	0.259537522	0.827212908
SM9 1 2	D	0	0.270788022	3.652230465	21.94611057	1.94724564	0.775402381	0.350677459	1.881792544	2.566817853	0.359128522	0.286244372	2.577995033
SM9 2 1	D	0	0.405210498	3.792356802	27.72375535	0.674345505	0.715536799	0.299657614	2.458410503	3.220670296	0.32402768	0.244598857	0.385833791
SM25 1	D	0	1.108878601	7.658402743	30.41505984	0.137080153	0.157018508	0.213368804	2.449609022	3.766688368	0.200351747	0.174164657	1.010110143
SM25 2	D	0	0.825882009	6.123983955	25.45285693	0.656269809	0.20990954	0.287834001	2.585036389	3.195884481	0.251388169	0.234947701	1.722938837
SM6 2	D	0	0.469261877	4.323122639	25.0177704	0.187545356	0.215092692	0.294941287	2.88910531	4.179691243	0.257595523	0.240749103	4.525036026
sm6	D	0	1.862785811	8.711450821	27.93113138	0.388216732	0.39957382	0.231259498	3.668141484	2.598509681	0.262259609	0.188768135	0.430416024
sm7	D	0	1.037971144	4.716633582	22.6260723	0.466655332	0.621616316	0.311306827	2.599790236	5.434621055	0.204530574	0.254107656	3.306436028
sm8	D	0	1.608343571	6.627113906	28.18386455	0.662695491	0.545193126	0.245067383	2.661505412	1.952305812	0.200067992	0.200038974	2.610747857
SM2 1 1 L1	D	0	1.699724912	7.98184597	29.4017816	0.221133505	0.288807575	0.201074622	4.166460378	4.704972769	0.219768816	0.164129394	0.960826215
SM2 1 1L2	D	0	2.355222123	9.51683087	29.25674847	0.276361204	0.326642684	0.189788918	3.429555714	4.218153087	0.320243786	0.154917313	0.50160882
SM2 1 2 L2	D	0	0.655333203	5.560358011	23.60277168	1.095363455	0.981648846	0.297002094	4.136487049	3.85727396	0.267966715	0.242431259	1.308042762
SM2 1 2 L3	D	0	0.830550574	5.233901689	21.6267783	1.101641221	0.922886269	0.332704834	2.868618248	3.385916436	0.285646401	0.271574017	1.964692712
SM2 2 2	D	0	1.980467431	8.57443433	30.45863997	0.283491419	0.346657615	0.192168053	3.104559785	3.273157747	0.390989673	0.156859308	1.25191581
SM10 1 1 L1	D	0	1.244692406	4.63467398	25.20818864	0.189517112	0.217354066	0.298042149	2.933302867	5.410817508	0.26030375	0.243280215	1.488917503
SM10 1 2 L1	D	0	3.529397142	6.812981527	28.10475045	0.163008123	0.204101603	0.209525237	3.121136488	4.804110474	0.182994939	0.171027302	1.240203676
SM10 1 2 L2	D	0	3.140392395	6.785501592	28.27951841	0.150922826	0.165682579	0.214847577	3.357582027	4.677932457	0.187643359	0.175371722	1.055572738
SM10 1 3 L2	D	0	2.73560718	4.922193553	23.12706397	0.366392765	0.221322342	0.303483563	2.243478545	4.605505081	0.265056167	0.24772183	2.418635953
SM10 2 1 L1 1	D	0	3.864728451	8.273042637	25.76700838	0.450037391	0.436968051	0.220447598	3.534689801	3.538738147	0.1925343	0.179942801	0.441400541
SM10 2 1 L1 2	D	0	1.304729054	4.70314996	20.65027419	0.297996463	0.275956633	0.378399674	2.324513243	3.083457515	0.330486325	0.308872938	1.163186768
